ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HRNJ176979CD3DBKQTFF06XK,buy,7,63.96,447722100,USDC,1710120531000,1710120541386
01HRKQGR7QYA5QMEJ0AJZDGM8Z,,2,63.88,,usdc,1710059184375,1710059184375
01HRJGHTN3W7G9GA91M803M7WM,buy,2,63.58,127168800,USDC,1710018315000,1710018325157
01HRF3RGMER4RCNN7CRQJSNV53,buy,1,63.86,63868250,USDC,1709904235000,1709904249487
01HRE8HF7W3GXG22D7Z563XERK,buy,11,63.370000000000005,697077150,USDC,1709875697000,1709875707133
01HRDSKF32ETFXJPH6AFQMZ704,buy,1,62.88,62887150,USDC,1709860034000,1709860043874
01HRDHPZTFXVGEPF90PDFEA2Q7,buy,3,62.73,188194050,USDC,1709851761000,1709851770704
01HRD57VFXB6862YEX4VNGX328,sell,20,60.247,1204940100,USDC,1709838682000,1709838691837
01HRD4YAT1J025Y4M0H44HJNSE,buy,1,64.21,64213250,USDC,1709838369000,1709838379841
01HRCWRXRY2AZ3KWNK1XRBZ02X,buy,1,64.12,64126100,USDC,1709829799000,1709829814046
