Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,20.01,01FMBAJS39T784QYDBVC03K0GR,01HTGNCY98KPM3D3NM0EWP4CKH,1714695781865,1712103810198
Buy,1,20,01FMBAJS39T784QYDBVC03K0GR,01HTFFEEJTQ32T1AYCEXF4BCYF,1714655984578,1712064012358
Buy,5,17.5,01FMBAJS39T784QYDBVC03K0GR,01HT8QCFMRH2F523P8ZV1GH6DW,1714429427515,1711837430509
Sell,3,35,01FMBAJS39T784QYDBVC03K0GR,01HTDMZPJ9HNR2MZEV81W1YA80,1714594653199,1712002713623
Sell,138,36.99,01FMBAJS39T784QYDBVC03K0GR,01HT8GJ3FB9CN8N4YVC4VVWDEZ,1714422265477,1711830303970
Sell,200,37.5,01FMBAJS39T784QYDBVC03K0GR,01HSPM7E6K6JRQVG41QG4PXZ5P,1713822115482,1711230164340
Sell,9,37.98,01FMBAJS39T784QYDBVC03K0GR,01HSFCHD51N421BZX5A7ZN7E4C,1713579144965,1710987222890
Sell,254,43.27,01FMBAJS39T784QYDBVC03K0GR,01HS7853NW8JE8SQ7RH4283X77,1713306154432,1710714189645
Sell,1,44.98,01FMBAJS39T784QYDBVC03K0GR,01HRSYCQQHJZ5K7M597ZDRCBDZ,1712859715289,1710267747568
Sell,88,45,01FMBAJS39T784QYDBVC03K0GR,01HTEC5FD4N35CTSXE4H4YSP4S,1714618977083,1712027018614
Sell,13,48.05,01FMBAJS39T784QYDBVC03K0GR,01HR4VMAMF12PWM9PW45GCNM90,1712148563679,1709560206452
Sell,4,50.56,01FMBAJS39T784QYDBVC03K0GR,01HTCX56N0BBBH5JHBQXRTQSAZ,1714569688429,1711977726419
