ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HRGPJPCEWM0HN486DQH4GEQD,,4,43.75,,usdc,1709957536142,1709957536142
01HRDFA2N0BGRDT4002YD152VW,,1,43,,usdc,1709849250464,1709849250464
01HRD4R154H1CT2APM624E02C9,,1,49.5,,usdc,1709838173347,1709838173347
01HRCX831FTWEKYKEWCV09NY3K,,1,49.49,,usdc,1709830310959,1709830310959
01HRCX7X9TVETYDT6XB7615YQ3,,24,43.49,,usdc,1709830305081,1709830305081
01HRCM8772RWNMRCD8SBEDF107,,10,42.05,,usdc,1709820878050,1709820878050
01HRAGJPEHXHHCBH6YRGRKBQ64,,35,41,,usdc,1709749918161,1709749918161
01HRA3C2070A0JK0XWYV76HWH1,,2,41,,usdc,1709736069127,1709736069127
01HR196AG2AFJNB24A8MPK6BE3,,3,42.5,,usdc,1709440182786,1709440182786
01HQYP81G3Q952WF3WNXGPTME1,,2,43,,usdc,1709353207299,1709353207299
