Order Type,Quantity,Price,Property Link,Order ID,Expire At,Created At
Sell,1,299.0,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HR8BWY5N17D5P7E2BB00TFV7,1712266258364,1709677927683
Sell,46,75.0,https://lofty.ai/property_deal/01HH55NJSE80CHPE90B1RTRQRB,01HSGQDWR8MDQS4ZTBRFFJV6A6,1713624165747,1711032197384
Sell,50,72.0,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HS9GXKTJPZHJGY90ZSRA262Z,1713382453103,1710790490511
Sell,10,71.99,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HSC3WB70YFTSY7W6PNDX6SGZ,1713469448820,1710877481198
Sell,2,69.0,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HSPS95F86WEKPKVQH1HSCJKV,1713827425599,1711235465955
Sell,1,68.5,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HSXA356VZENCEEYYTXF5SAP1,1714046379354,1711454420831
Sell,20,65.88,https://lofty.ai/property_deal/01HH55NJSE80CHPE90B1RTRQRB,01HT36X929STTM98GCTADXA8E7,1714244368469,1711652409933
Sell,8,65.43,https://lofty.ai/property_deal/01HH55NJSE80CHPE90B1RTRQRB,01HSYQ34PWD6WWCNRB88QY77KG,1714093551928,1711501606486
Sell,150,65.0,https://lofty.ai/property_deal/01HQPBRGHMGY6J768GPKRRRWG2,01HT8MRC6WWGKVRF3Z3XYF7ZS5,1714426670410,1711834699286
Sell,5,64.88,https://lofty.ai/property_deal/01HH55NJSE80CHPE90B1RTRQRB,01HTGRY0K8VTR26FE9P7W1QHF1,1714699410277,1712107515259
Sell,100,60.0,https://lofty.ai/property_deal/01HQPBRGHMGY6J768GPKRRRWG2,01HT8MPJP50WPDHK8X81T2ZD41,1714426602938,1711834642163
Sell,1,60.0,https://lofty.ai/property_deal/01G4BMJE4911TXDAHY873G33ZZ,01HRE392SA5EFXRPKNTWBY1FTW,1712458577302,1709870217095
Sell,24,59.0,https://lofty.ai/property_deal/01G4BMJE4911TXDAHY873G33ZZ,01HSF63J9VM21VQ0AE37TQZMXJ,1713572440996,1710980476842
Sell,12,59.0,https://lofty.ai/property_deal/01GA2HQA2RAWY2MPR5FDVJGDRM,01HRN6M6F8QF17S96BQT5D6CHH,1712700563927,1710108606715
Sell,26,59.0,https://lofty.ai/property_deal/01G5AHV0PBN3DN6DYYQ3Q4XCT3,01HSF617P258S5NVM83F5YZKEJ,1713572358971,1710980402621
Sell,100,58.99,https://lofty.ai/property_deal/01G4BMJE4911TXDAHY873G33ZZ,01HSKNN8P3MASB4T0FYV3QYYV5,1713722969496,1711131003697
